video_id,title,published_at,estimatedMinutesWatched,views,likes,subscribersGained,comments,averageViewDuration,cardClicks,cardTeaserClicks,cardImpressions
XjgHv1CUb4k,Оптовая компания RedStar. Все для салонов красоты | дудл видео для бизнеса,2018-10-21T22:00:42Z,24,22,0,1,0,67,0,0,0
46tL9V_DPss,АТМ — Финансовое планирование | Моушн-дизайн видео,2020-04-29T14:47:13Z,73,69,1,1,0,63,0,0,0
d5dL0u_f99I,Азбука Вкуса. Эмоциональный сервис | Моушн-дизайн видео,2020-11-25T10:48:54Z,213,141,2,1,0,90,0,0,0
v9tfD2wz66I,Дудл-видео для презентации ФДТ | Рисованное видео RomanSergeevCom,2018-06-03T23:36:08Z,33,19,0,0,0,105,0,0,0
moMOW18sanI,Анимационное видео для компании EpayS | RomanSergeevCom,2018-06-16T16:27:54Z,6,23,0,0,0,16,0,0,0
7kuhRwTVLr0,Банк Открытие | Живое видео с инфографикой,2022-04-26T12:14:30Z,25,27,0,0,0,57,0,0,0
V30pwRLhpqk,Smekalka | Моушн-дизайн видео,2021-04-20T13:17:36Z,102,43,0,0,0,142,0,0,0
5CwoCDpcRBY,IngalDom - Дом под ключ | Дудл видео для бизнеса,2019-03-12T20:12:25Z,26,37,0,0,0,42,0,0,0
7ZJiMYLVYo4,Бекстейдж записи саммари на книгу Игоря Рыбакова «Ток»,2019-08-12T12:39:16Z,5,13,0,0,0,23,0,0,0
gidVRtv1JjE,Иннополис для Стартапов | Дудл видео для бизнеса,2021-12-28T09:18:51Z,18,29,1,1,0,38,0,0,0
OdIR9QJT7AA,RomanSergeevCom En,2019-10-21T21:52:43Z,0,2,0,0,0,7,0,0,0
GT0_B_jyyd4,Коучинговые карты «КАК» | Дудл видео для бизнеса,2019-01-27T20:42:30Z,4,7,0,0,0,41,0,0,0
t8jK_WkOZig,Склад в Дубай | Моушн-дизайн видео,2019-03-11T20:27:14Z,6,9,0,0,0,43,0,0,0
nS2CrrlxNvU,ФПИ | Дудл видео для бизнеса,2019-12-20T08:37:52Z,14,22,0,0,0,39,0,0,0
Hy-ZFcK1uBo,ATM - Безокладная зарплата | Дудл видео для бизнеса,2019-01-10T13:43:12Z,14,19,1,0,0,46,0,0,0
RVdgDZt7jHY,Shooting club. Rules of conduct - China | Doodle video for business.,2018-11-24T00:04:51Z,4,6,0,0,0,47,0,0,0
9rn6HHnzCn4,Правила противопожарной безопасности в ТЦ | Дудл видео,2018-09-15T07:39:16Z,718,487,9,2,0,88,0,0,0
E6DlhiYIJpI,Удаленная бухгалтерия от Lavnik Partners,2019-01-15T13:58:23Z,10,17,0,0,0,38,0,0,0
WVtEWOsQ3M8,Советы по провозу багажа от авиакомпании Bek Air | Моушн дизайн видео,2018-09-15T11:23:26Z,3,6,0,0,0,33,0,0,0
0NlDdddXpr8,Новотелеком. Домофон | Моушн-дизайн видео,2019-08-20T22:04:04Z,11,37,0,0,0,19,0,0,0
